yyyymm,price,d12,e12,ret,retx,AAA,BAA,lty,ltr,corpr,tbl,Rfree,d/p,d_y,e_p,d_e,b_m,tms,dfy,dfr,infl,eqis,ntis,svar,cay,i/k,csp,pce,vp,impvar,vrp,govik,lzrt,skew,crdstd,ogap,wtexas,accrul,cfacc,sntm,ndrbl,skvw,tail,fbm,dtoy,dtoat,ygap,rdsp,rsvix,gpce,gip,tchi,house,avgcor,shtint,disag
187101,4.44,0.26,0.4,,,,,,,,,,0.058559,,0.09009,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187102,4.5,0.26,0.4,,,,,,,,,0.004967,0.057778,0.058559,0.088889,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187103,4.61,0.26,0.4,,,,,,,,,0.004525,0.056399,0.057778,0.086768,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187104,4.74,0.26,0.4,,,,,,,,,0.004252,0.054852,0.056399,0.084388,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187105,4.86,0.26,0.4,,,,,,,,,0.004643,0.053498,0.054852,0.082305,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187106,4.82,0.26,0.4,,,,,,,,,0.003698,0.053942,0.053498,0.082988,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187107,4.73,0.26,0.4,,,,,,,,,0.003373,0.054968,0.053942,0.084567,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187108,4.79,0.26,0.4,,,,,,,,,0.003255,0.05428,0.054968,0.083507,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187109,4.84,0.26,0.4,,,,,,,,,0.003713,0.053719,0.05428,0.082645,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187110,4.59,0.26,0.4,,,,,,,,,0.004554,0.056645,0.053719,0.087146,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187111,4.64,0.26,0.4,,,,,,,,,0.007041,0.056034,0.056645,0.086207,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187112,4.74,0.26,0.4,,,,,,,,,0.006488,0.054852,0.056034,0.084388,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187201,4.86,0.2633,0.4025,,,,,,,,,0.006975,0.054177,0.055549,0.082819,0.654161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187202,4.88,0.2667,0.405,,,,,,,,,0.005764,0.054652,0.054877,0.082992,0.658519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187203,5.04,0.27,0.4075,,,,,,,,,0.005218,0.053571,0.055328,0.080853,0.662577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187204,5.18,0.2733,0.41,,,,,,,,,0.006001,0.052761,0.054226,0.079151,0.666585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187205,5.18,0.2767,0.4125,,,,,,,,,0.00603,0.053417,0.053417,0.079633,0.670788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187206,5.13,0.28,0.415,,,,,,,,,0.004953,0.054581,0.054054,0.080897,0.674699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
